data,n,iterativo,recursivo
Tue Sep 20 17:15:09 BRT 2022,100000,472,4409
Tue Sep 20 17:15:17 BRT 2022,100000,499,4452
Tue Sep 20 17:15:33 BRT 2022,100000,610,4824
Tue Sep 20 17:15:48 BRT 2022,100000,772,5471
Tue Sep 20 17:16:05 BRT 2022,100000,716,5911
Tue Sep 20 17:16:21 BRT 2022,100000,800,5288
Tue Sep 20 17:16:38 BRT 2022,100000,491,4511
Tue Sep 20 17:16:47 BRT 2022,100000,674,5429
Tue Sep 20 17:17:03 BRT 2022,100000,520,4381
Tue Sep 20 17:17:18 BRT 2022,100000,504,4454
Tue Sep 20 17:17:33 BRT 2022,100000,507,4543
Tue Sep 20 17:17:49 BRT 2022,100000,541,4887
Tue Sep 20 17:18:04 BRT 2022,100000,702,5521
Tue Sep 20 17:18:21 BRT 2022,100000,661,4945
Tue Sep 20 17:18:36 BRT 2022,100000,714,4644
Tue Sep 20 17:18:52 BRT 2022,100000,459,4140
Tue Sep 20 17:19:07 BRT 2022,100000,451,4112
Tue Sep 20 17:19:21 BRT 2022,100000,452,4089
Tue Sep 20 17:19:36 BRT 2022,100000,449,4181
Tue Sep 20 17:19:51 BRT 2022,100000,450,4173
Tue Sep 20 17:20:06 BRT 2022,100000,458,4179
Tue Sep 20 17:20:20 BRT 2022,100000,458,4353
Tue Sep 20 17:20:35 BRT 2022,100000,444,4119
Tue Sep 20 17:20:50 BRT 2022,100000,455,4111
Tue Sep 20 17:21:05 BRT 2022,100000,454,4148
Tue Sep 20 17:21:20 BRT 2022,100000,429,4174
Tue Sep 20 17:21:34 BRT 2022,100000,447,4122
Tue Sep 20 17:21:49 BRT 2022,100000,442,4120
Tue Sep 20 17:22:04 BRT 2022,100000,454,4107
Tue Sep 20 17:22:19 BRT 2022,100000,456,4120
Tue Sep 20 17:22:33 BRT 2022,100000,455,4115
Tue Sep 20 17:22:48 BRT 2022,100000,467,4174
Tue Sep 20 17:23:03 BRT 2022,100000,463,4174
Tue Sep 20 17:23:18 BRT 2022,100000,449,4194
Tue Sep 20 17:23:32 BRT 2022,100000,448,4180
Tue Sep 20 17:23:47 BRT 2022,100000,447,4112
Tue Sep 20 17:24:02 BRT 2022,100000,446,4173
Tue Sep 20 17:24:17 BRT 2022,100000,449,4141
Tue Sep 20 17:24:31 BRT 2022,100000,451,4136
Tue Sep 20 17:24:46 BRT 2022,100000,449,4131
Tue Sep 20 17:25:01 BRT 2022,100000,449,4208
Tue Sep 20 17:25:16 BRT 2022,100000,452,4115
Tue Sep 20 17:25:31 BRT 2022,100000,480,4185
Tue Sep 20 17:25:45 BRT 2022,100000,455,4122
Tue Sep 20 17:26:00 BRT 2022,100000,456,4137
Tue Sep 20 17:26:15 BRT 2022,100000,453,4203
Tue Sep 20 17:26:30 BRT 2022,100000,447,4148
Tue Sep 20 17:26:44 BRT 2022,100000,440,4166
Tue Sep 20 17:26:59 BRT 2022,100000,449,4171
Tue Sep 20 17:27:14 BRT 2022,100000,455,4136
